activation:,agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,<function relu at 0x7fe9410cacb0>,0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
"Episode:,Score:,Average Score:,Epsilon:"
726,-62.16,206.92,0.01
727,246.21,207.18,0.01
728,1.33,204.47,0.01
729,227.52,204.73,0.01
730,266.17,204.58,0.01
731,260.39,204.31,0.01
732,-13.26,202.22,0.01
733,250.5,202.13,0.01
734,223.94,202.05,0.01
735,258.89,202.28,0.01
736,261.38,202.37,0.01
737,265.17,202.69,0.01
738,268.76,202.55,0.01
739,232.26,202.25,0.01
740,272.06,202.29,0.01
741,237.01,201.99,0.01
742,269.62,202.13,0.01
743,227.71,202.17,0.01
744,18.47,199.83,0.01
745,259.39,199.66,0.01
746,295.94,200.52,0.01
747,225.62,199.98,0.01
748,255.17,203.18,0.01
749,296.81,203.7,0.01
750,269.58,203.96,0.01
751,283.35,204.15,0.01
752,265.22,204.38,0.01
753,187.11,203.53,0.01
754,247.5,203.82,0.01
755,209.48,203.33,0.01
756,136.57,202.4,0.01
757,306.9,202.8,0.01
758,-0.98,200.42,0.01
759,261.37,200.66,0.01
760,255.88,200.75,0.01
761,279.73,203.54,0.01
762,-16.96,201.41,0.01
763,223.06,201.03,0.01
764,4.33,198.19,0.01
765,265.75,198.31,0.01
766,258.61,201.6,0.01
767,266.92,201.8,0.01
768,261.1,201.53,0.01
769,268.78,201.61,0.01
770,-4.42,199.17,0.01
771,262.57,199.55,0.01
772,233.82,199.67,0.01
773,302.2,200.07,0.01
774,168.9,199.46,0.01
775,280.33,202.36,0.01
776,309.92,202.96,0.01
777,225.94,203.04,0.01
778,238.37,203.49,0.01
779,312.08,207.14,0.01
780,178.94,206.71,0.01
781,224.51,206.5,0.01
782,253.18,206.87,0.01
783,248.87,206.45,0.01
784,294.84,206.96,0.01
785,250.37,206.72,0.01
786,307.34,206.96,0.01
787,297.52,212.49,0.01
788,290.48,212.47,0.01
789,236.59,212.27,0.01
790,278.56,212.66,0.01
791,269.42,215.55,0.01
792,306.82,216.55,0.01
793,297.67,216.89,0.01
794,260.75,217.51,0.01
795,-29.31,214.88,0.01
796,9.26,212.32,0.01
797,264.65,212.42,0.01
798,47.03,210.44,0.01
799,230.17,209.99,0.01
800,250.52,210.0,0.01
801,295.76,210.61,0.01
802,281.0,210.88,0.01
803,289.43,210.7,0.01
804,29.75,208.37,0.01
805,232.73,208.05,0.01
806,267.05,208.03,0.01
807,295.83,208.25,0.01
808,298.53,215.38,0.01
809,262.7,215.18,0.01
810,278.35,215.47,0.01
811,273.48,218.21,0.01
812,208.96,221.66,0.01
813,256.77,224.35,0.01
814,250.23,227.16,0.01
815,271.97,227.1,0.01
816,245.35,226.93,0.01
817,-48.51,223.92,0.01
818,269.92,223.99,0.01
819,261.25,224.2,0.01
820,279.99,224.62,0.01
821,92.53,223.07,0.01
822,-60.82,219.45,0.01
823,27.78,217.3,0.01
824,-13.03,214.59,0.01
825,36.05,212.59,0.01
826,257.66,215.79,0.01
827,206.46,215.39,0.01
828,265.31,218.03,0.01
829,244.69,218.2,0.01
830,299.08,218.53,0.01
831,259.32,218.52,0.01
832,250.42,221.16,0.01
833,286.59,221.52,0.01
834,273.52,222.02,0.01
